Test ID,RefOrgan,TestOrgan,HD,HD95_ref2test,HD95_test2ref,MD_ref2test,MD_test2ref,AD_ref2test,AD_test2ref,RefVol,TestVol,TPVol,FNVol,FPVol,three_D_DSC,ref_length,test_length,APL,cent_dist
1,Reference Cuboid Sparse,Test Cuboid Sparse,40.665096,31.107935,34.212614,26.200000,26.200000,22.913503,24.085231,480000.000000,561000.000000,225178.980000,254821.020000,335821.020000,0.432621,6400.000000,7140.000000,6348.000000,39.075568
2,Reference Cuboid Sparse,Test Cuboid Dense,40.132281,31.174403,34.115429,26.200000,26.200000,22.936951,24.060307,480000.000000,560943.900000,225171.960000,254828.040000,335771.940000,0.432630,6400.000000,7114.344659,6348.000000,39.074254
3,Reference Cuboid Sparse,Test Cuboid Sparse,40.665096,31.107935,34.212614,26.200000,26.200000,22.913503,24.085231,500000.000000,550000.000000,225178.980000,274821.020000,324821.020000,0.428912,20000.000000,21000.000000,19844.000000,39.212881
4,Reference Cuboid Sparse,Test Cuboid Dense,40.431100,31.117806,34.169419,26.200000,26.200000,22.925873,24.075079,500000.000000,549984.320000,225176.406000,274823.594000,324807.914000,0.428914,20000.000000,20958.357808,19844.000000,39.212840
5,Reference Cuboid Sparse,Test Cuboid Sparse,40.665096,31.107935,34.212614,26.200000,26.200000,22.913503,24.085231,500000.000000,550000.000000,222292.070000,277707.930000,327707.930000,0.423413,40000.000000,42000.000000,39692.000000,39.356067
6,Reference Cuboid Sparse,Test Cuboid Dense,40.588668,31.123241,34.211694,26.200000,26.200000,22.929423,24.083836,500000.000000,549993.750000,222289.760000,277710.240000,327703.990000,0.423412,40000.000000,41948.704816,39692.000000,39.356403
